City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,bambous virieux,-20.347199500000002,57.76474767388835,81.52,78,40,17.27,MU,1675785551
1,naze,5.4519997,7.0566745,98.91,24,38,3.31,NG,1675785551
2,mar del plata,-37.9977225,-57.5482703,76.91,80,100,13.0,AR,1675785552
3,mataura,-46.192734,168.8642685,51.48,61,74,5.5,NZ,1675785553
4,deputatskiy,54.8408485,61.1269918,3.51,98,97,4.32,RU,1675785553
5,raciu,44.8179068,25.4410647,28.06,73,100,3.36,RO,1675785554
6,fort-shevchenko,44.508556,50.261929,40.3,73,100,24.27,KZ,1675785554
7,ushuaia,-54.806115899999995,-68.3184972880496,53.26,54,40,8.05,AR,1675785555
8,constitucion,-35.3318306,-72.4118998,72.01,52,2,3.78,CL,1675785555
9,qaanaaq,77.4686357,-69.2222746,-23.26,72,97,5.99,GL,1675785556
10,aklavik,68.2182579,-135.013585,-23.8,76,75,5.75,CA,1675785557
11,vardo,70.3308174,30.961751972265887,36.28,75,0,21.85,NO,1675785557
12,mahebourg,-20.4111041,57.7060616,81.34,78,40,17.27,MU,1675785558
13,kruszwica,52.6743797,18.3254766,30.81,89,86,3.96,PL,1675785558
14,comodoro rivadavia,-45.8632024,-67.4752615,75.65,31,0,11.5,AR,1675785559
15,mandalgovi,45.7630435,106.2704145,5.58,93,10,4.85,MN,1675785560
16,port alfred,-33.5981844,26.8914772,73.06,88,86,4.0,ZA,1675785561
17,fertod,47.6216348,16.8645834,30.63,52,1,6.44,HU,1675785561
18,atuona,-9.8037347,-139.0425737,79.27,71,8,17.4,FR,1675785562
19,kodiak,57.79,-152.4072222,29.71,74,0,11.5,US,1675785441
20,menongue,-14.6610713,17.6820336,72.03,77,98,5.1,AO,1675785563
21,vaini,-21.1925671,-175.1772797,77.29,94,75,8.05,TO,1675785563
22,hermanus,-34.4175,19.2361111,70.84,74,100,11.99,ZA,1675785564
23,pevek,69.7028171,170.2746851,-24.27,99,100,2.51,RU,1675785565
24,kavaratti,10.5672203,72.6394636,80.78,70,97,11.7,IN,1675785565
25,pisco,-13.7099813,-76.2029793,75.09,88,0,10.36,PE,1675785566
26,thompson,55.743347,-97.863464,-16.42,76,75,0.0,CA,1675785566
27,kudahuvadhoo,2.6704688,72.89060791131976,81.19,75,93,9.26,MV,1675785567
28,hilo,19.7073734,-155.08158,72.55,89,100,1.99,US,1675785568
29,luderitz,-26.6500086,15.157266,74.79,63,0,29.15,NA,1675785568
30,albany,42.6511674,-73.754968,37.76,58,33,3.0,US,1675785569
31,solnechnyy,50.723808,136.64006,-6.99,99,100,3.83,RU,1675785569
32,ambikapur,23.1226343,83.1981886,61.83,32,0,3.51,IN,1675785570
33,mount gambier,-37.8246698,140.7820067624113,54.5,88,79,7.11,AU,1675785571
34,xalpatlahuac,17.470556,-98.606111,71.8,46,0,0.36,MX,1675785571
35,dunedin,-45.8740984,170.5035755,53.55,70,92,9.4,NZ,1675785572
